systematic	common	uniprot	seq_len
	ADGRV1	Q8WXG9	6306
	RYR1	P21817	5038
	RYR2	Q92736	4967
	RYR3	Q15413	4870
	CELSR3	Q9NYQ7	3312
	ADGRG4	Q8IZF6	3080
	CELSR1	Q9NYQ6	3014
	CELSR2	Q9HCU4	2923
	PKD1L1	Q8TDX9	2849
	ITPR1	Q14643	2758
	PIEZO2	Q9H5I5	2752
	ITPR2	Q14571	2701
	ITPR3	Q14573	2671
	PIEZO1	Q92508	2521
	CACNA1A	O00555	2506
	PKD1L2	Q7Z442	2459
	CACNA1G	O43497	2377
	GPR179	Q6PRD1	2367
	CACNA1H	O95180	2353
	CACNA1B	Q00975	2339
	CACNA1E	Q15878	2313
	CACNA1I	Q9P0X4	2223
	CACNA1C	Q13936	2221
	CACNA1D	Q01668	2161
	TRPM6	Q9BX84	2022
	SCN5A	Q14524	2016
	SCN1A	P35498	2009
	SCN2A	Q99250	2005
	SCN3A	Q9NY46	2000
	SCN9A	Q15858	1988
	SCN8A	Q9UQD0	1980
	CACNA1F	O60840	1977
	SCN10A	Q9Y5Y9	1956
	CACNA1S	Q13698	1873
	TRPM7	Q96QT4	1865
	SCN4A	P35499	1836
	SCN11A	Q9UI33	1791
	NALCN	Q8IZF0	1738
	PKD1L3	Q7Z443	1732
	TRPM3	Q9HCF6	1732
	TRPM1	Q7Z4N2	1603
	ADGRB2	O60241	1585
	ADGRB1	O14514	1584
	ADGRB3	O60242	1522
	TRPM2	O94759	1503
	GRIN2B	Q13224	1484
	CFTR	P13569	1480
	ADGRL1	O94910	1474
	GRIN2A	Q12879	1464
	ADGRL2	O95490	1459
	ADGRL3	Q9HAR2	1447
	ADGRF5	Q8IZF2	1346
	ADGRA2	Q96PE1	1338
	GRIN2D	O15399	1336
	ADGRA3	Q8IWK6	1321
	CNGB1	Q14028	1251
	KCNMA1	Q12791	1236
	GRIN2C	Q14957	1233
	KCNT1	Q5JUK3	1230
	ADGRG6	Q86SQ4	1221
	GPR158	Q5T848	1215
	TRPM4	Q8TD43	1214
	GRM5	P41594	1212
	HCN4	Q9Y3Q4	1203
	KCNH7	Q9NS40	1196
	GRM1	Q13255	1194
	TRPM5	Q9NZQ8	1165
	KCNH2	Q12809	1159
	CACNA2D2	Q9NY47	1150
	KCNU1	A8MYU2	1149
	CACNA2D4	Q7Z3S7	1137
	KCNT2	Q6UVM3	1135
	TRPA1	O75762	1119
	GRIN3A	Q8TCU5	1115
	KCNH8	Q96L42	1107
	TRPM8	Q7Z2W7	1104
	CACNA2D1	P54289	1103
	CACNA2D3	Q8IZS8	1091
	KCNH3	Q9ULD8	1083
	ADGRF3	Q8IZF5	1079
	CASR	P41180	1078
	GRIN3B	O60391	1043
	ADGRG2	Q8IZP9	1017
	KCNH4	Q9UQ05	1017
	GRID1	Q9ULK0	1009
	GRID2	O43424	1007
	ANO2	Q9NQ90	998
	KCNH1	O95259	989
	CLCN1	P35523	988
	KCNH5	Q8NCM2	988
	ANO1	Q5XXA6	986
	GRIK5	Q16478	980
	TRPC4	Q9UBN4	977
	TRPC5	Q9UL62	973
	PKD2	Q13563	968
	LGR6	Q9HBX8	967
	ADGRD2	Q7Z7M1	963
	GABBR1	Q9UBS5	961
	KCNH6	Q9H252	958
	GRIK4	Q16099	956
	LGR4	Q9BXB1	951
	GABBR2	O75899	941
	GRIN1	Q05586	938
	KCNQ5	Q9NR82	932
	TRPC6	Q9Y210	931
	GPRC6A	Q5T6X5	926
	TRPC3	Q13507	921
	GRIK3	Q13003	919
	GRIK1	P39086	918
	GRM7	Q14831	915
	GRM4	Q14833	912
	KCNB2	Q92953	911
	ADGRF1	Q5T601	910
	ANO6	Q4KMQ2	910
	GRM8	O00222	908
	GRIK2	Q13002	908
	LGR5	O75473	907
	GRIA1	P42261	906
	TMC2	Q8TDI7	906
	GRIA4	P48058	902
	CLCN2	P51788	898
	GRIA3	P42263	894
	HCN1	O60741	890
	HCN2	Q9UL51	889
	ADGRE1	Q14246	886
	GRIA2	P42262	883
	GRM3	Q14832	879
	GRM6	O15303	877
	ADGRD1	Q6QNK2	874
	GRM2	Q14416	872
	KCNQ3	O43525	872
	KCNQ2	O43526	872
	TRPV4	Q9HBA0	871
	TRPC7	Q9HCX4	862
	KCNB1	Q14721	858
	LRRC8D	Q7L1W4	858
	TAS1R3	Q7RTX0	852
	TAS1R1	Q7RTX1	841
	TAS1R2	Q8TE23	839
	TRPV1	Q8NER1	839
	ADGRE5	P48960	835
	TMEM63B	Q5T3F8	832
	ADGRE2	Q9UHX3	823
	TPCN1	Q9ULQ1	816
	GPR156	Q8NFN8	814
	LRRC8A	Q8IWT6	810
	CNGB3	Q9NQW8	809
	TMEM63A	O94886	807
	TMEM63C	Q9P1W3	806
	PKD2L1	Q9P0L9	805
	LRRC8B	Q6P9F7	803
	LRRC8C	Q8TDW0	803
	SCNN1D	P51172	802
	ADGRG7	Q96K78	797
	LRRC8E	Q6NSJ5	796
	TRPC1	P48995	793
	TRPV3	Q8NET8	790
	SMO	Q99835	787
	CATSPER1	Q8NEC5	780
	HCN3	Q9P1Z3	774
	NOX5	Q96PH1	765
	TRPV6	Q9H1D0	765
	TSHR	P16473	764
	TRPV2	Q9Y5S1	764
	TMC1	Q8TDI8	760
	SLC26A6	Q9BXS9	759
	RXFP1	Q9HBX9	757
	KCNC3	Q14003	757
	RXFP2	Q8WXD0	754
	TPCN2	Q8NHX9	752
	GPR149	Q86SP6	731
	KCNN3	Q9UGI6	731
	TRPV5	Q9NQA5	729
	TMC4	Q7Z404	712
	ADGRF2P	Q8IZF7	708
	FZD6	O60353	706
	CLIC6	Q96NY7	704
	SLC26A1	Q9H2B4	701
	LHCGR	P22888	699
	FSHR	P23945	695
	ADGRF4	Q8IZF3	695
	KCNQ4	P56696	695
	FZD8	Q9H461	694
	CNGA3	Q16281	694
	ADGRG1	Q9Y653	693
	ADGRL4	Q9HBW9	690
	CLCNKA	P51800	687
	CLCNKB	P51801	687
	CNGA1	P29973	686
	PANX2	Q96RD6	677
	KCNQ1	P51787	676
	SCNN1A	P37088	669
	BEST3	Q8N1M1	668
	FZD3	Q9NPG1	666
	CNGA2	Q16280	664
	CACNB2	Q08289	660
	KCND3	Q9UK17	655
	KCNA4	P22459	653
	ADGRE3	Q9BY15	652
	SCNN1G	P51170	649
	FZD1	Q9UP38	647
	KCND1	Q9NSA2	647
	SCNN1B	P51168	640
	KCNC2	Q96PR1	638
	KCNC4	Q03721	635
	GABRQ	Q9UN88	632
	KCND2	Q9NZV8	630
	CHRNA4	P43681	627
	PKD2L2	Q9NZM6	624
	GPR50	Q13585	617
	GPR37	O15354	613
	KCNA5	P22460	613
	OTOP1	Q7RTM1	612
	GPR153	Q6NV75	609
	CACNB1	Q02641	598
	OTOP3	Q7RTS5	596
	P2RX7	Q99572	595
	PTH1R	Q03431	593
	FZD9	O00144	591
	CHRM3	P20309	590
	SLC17A8	Q8NDX2	589
	GPR162	Q16538	588
	FZD5	Q13467	585
	BEST1	O76090	585
	SLC17A6	Q9P2U8	582
	FZD10	Q9ULW2	581
	MCOLN1	Q9GZU1	580
	KCNN2	Q9H2S1	579
	KCNA3	P22001	575
	CNGA4	Q8IV77	575
	FZD7	O75084	574
	ADRA1D	P25100	572
	CYBB	P04839	570
	MCOLN2	Q8IZK6	566
	FZD2	Q14332	565
	OTOP2	Q7RTS6	562
	ADGRA1	Q86SQ6	560
	SLC17A7	Q9P2U7	560
	TMEM87A	Q8NBN3	555
	GABRA4	P48169	554
	GLP2R	O95838	553
	MCOLN3	Q8TDD5	553
	CLCC1	Q96S66	551
	PTH2R	P49190	550
	ADGRG3	Q86Y34	549
	KCNV2	Q8TDN2	545
	KCNN1	Q92952	543
	GPR75	O95800	540
	ASIC4	Q96FT7	539
	KCNK10	P57789	538
	FZD4	Q9ULV1	537
	TTYH2	Q9BSA4	534
	CHRM5	P08912	532
	ASIC3	Q9UHC3	531
	CATSPER2	Q96P56	530
	GPR161	Q8N6U8	529
	KCNA6	P17658	529
	CHRNA2	Q15822	529
	ADGRG5	Q8IZF4	528
	ASIC1	P78348	528
	KCNS1	Q96KK3	526
	TTYH3	Q9C0H2	523
	NPFFR2	Q9Y5X5	522
	ADRA1B	P35368	520
	CACNB4	O00305	520
	KCNG4	Q8TDN1	519
	MFSD8	Q8NHS3	518
	CHRNG	P07510	517
	CHRND	Q07001	517
	GPR176	Q14439	515
	KCNG1	Q9UIX4	513
	GABRB2	P47870	512
	ASIC2	Q16515	512
	KCNC1	P48547	511
	KCNA10	Q16322	511
	BEST2	Q8NFU1	509
	GPR101	Q96P66	508
	GABRE	P78334	506
	CHRNA3	P32297	505
	ASIC5	Q9NY37	505
	TMEM175	Q9BSA9	504
	CHRNB2	P17787	502
	CHRNA7	P36544	502
	CHRNB1	P11230	501
	KCNJ3	P48549	501
	KCNV1	Q6PIU1	500
	KCNK5	O95279	499
	KCNA2	P16389	499
	CHRNB4	P30926	498
	GLRB	P48167	497
	KCNA1	Q09470	495
	GPR135	Q8IZ08	494
	CHRNA6	Q15825	494
	KCNF1	Q9H3M0	494
	CHRNE	Q04844	493
	GABRA3	P34903	492
	KCNS3	Q9BQ31	491
	PTGER4	P35408	488
	HRH1	P35367	487
	CACNB3	P54284	484
	C3AR1	Q16581	482
	GPR37L1	O60883	481
	HTR2B	P41595	481
	CHRM4	P08173	479
	HTR7	P34969	479
	GABRR1	P24046	479
	CHRNA9	Q9UGM1	479
	OPN4	Q9UHM6	478
	HTR3A	P46098	478
	ADRB1	P08588	477
	DRD5	P21918	477
	GCGR	P47871	477
	KCNS2	Q9ULS6	477
	GABRG2	P18507	475
	CALCR	P30988	474
	GABRB1	P18505	474
	GABRB3	P28472	473
	BEST4	Q8NFU0	473
	CNR1	P21554	472
	CATSPER4	Q7RTX7	472
	HTR2A	P28223	471
	P2RX2	Q9UBL9	471
	GPR152	Q8TDT2	470
	RXFP3	Q9NSD7	469
	ADCYAP1R1	P41586	468
	CHRNA5	P30532	468
	GABRR3	A8MPY1	467
	GABRG3	Q99928	467
	CHRM2	P08172	466
	ADRA1A	P35348	466
	GIPR	P48546	466
	KCNG2	Q9UJ96	466
	ADRA2A	P08913	465
