ADGRV1 (gpcr, n/a): top5=['YGL072C', 'YLR106C', 'YKR033C', 'YPL251W', 'YLR462W'] sce04011 median rank=4027 (random~3367)
RYR1 (ion_channel, n/a): top5=['YLR235C', 'YFL021C-A', 'YOL085C', 'YKL097C', 'YHR213W-A'] sce04011 median rank=4349 (random~3367)
RYR2 (ion_channel, n/a): top5=['YLR106C', 'R0020C', 'YBL006C', 'YIR044C', 'YKR101W'] sce04011 median rank=4167 (random~3367)
RYR3 (ion_channel, n/a): top5=['YOR366W', 'YIR044C', 'YCL046W', 'YBL012C', 'YGR269W'] sce04011 median rank=4084 (random~3367)
CELSR3 (gpcr, n/a): top5=['YMR069W', 'YDR488C', 'YLR141W', 'YJR084W', 'YIL106W'] sce04011 median rank=3462 (random~3367)
ADGRG4 (gpcr, n/a): top5=['YKR005C', 'YLR087C', 'YMR021C', 'YDR420W', 'YDL211C'] sce04011 median rank=2356 (random~3367)
CELSR1 (gpcr, n/a): top5=['YLL067C', 'YER190W', 'YLL066C', 'YJL225C', 'YIL177C'] sce04011 median rank=3382 (random~3367)
CELSR2 (gpcr, n/a): top5=['YJL225C', 'YER190W', 'YIL177C', 'YLL067C', 'YLR466W'] sce04011 median rank=3130 (random~3367)
PKD1L1 (ion_channel, n/a): top5=['YHL050C', 'YML133C', 'YLL066C', 'YLL067C', 'YJL225C'] sce04011 median rank=3471 (random~3367)
ITPR1 (ion_channel, n/a): top5=['YLL066C', 'YGL208W', 'YML133C', 'YPL094C', 'YLL067C'] sce04011 median rank=3626 (random~3367)
PIEZO2 (ion_channel, n/a): top5=['YMR306W', 'YIL047C', 'YDR372C', 'YNR075W', 'YNL294C'] sce04011 median rank=2840 (random~3367)
ITPR2 (ion_channel, n/a): top5=['YLL066C', 'YML133C', 'YLL067C', 'YPL094C', 'YHR218W'] sce04011 median rank=3512 (random~3367)
ITPR3 (ion_channel, n/a): top5=['YDL140C', 'YOR341W', 'YPL245W', 'YPL094C', 'YNR003C'] sce04011 median rank=3644 (random~3367)
PIEZO1 (ion_channel, n/a): top5=['YGL126W', 'YDR488C', 'YLR342W', 'YOL086W-A', 'YGR032W'] sce04011 median rank=4074 (random~3367)
CACNA1A (ion_channel, n/a): top5=['YMR180C', 'YJR084W', 'YLR342W', 'YGR032W', 'YIL106W'] sce04011 median rank=3796 (random~3367)
PKD1L2 (ion_channel, n/a): top5=['YEL077C', 'YPR204W', 'YHL050C', 'YLR466W', 'YER190W'] sce04011 median rank=3100 (random~3367)
CACNA1G (ion_channel, n/a): top5=['YGR092W', 'YPR111W', 'YLR019W', 'YNL326C', 'YMR069W'] sce04011 median rank=3702 (random~3367)
GPR179 (gpcr, n/a): top5=['YKL086W', 'YBR010W', 'YHL050C', 'YBL113C', 'YHR219W'] sce04011 median rank=4344 (random~3367)
