acc	gene	source	pdb_id	resolution	method	path	note
O00222	GRM8	pdb	6BSZ	2.65	X-RAY DIFFRACTION	product/target_screen/structures/raw/O00222.pdb	
O00590	ACKR2	pdb	8J8V	3.22	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O00590.pdb	
O14842	FFAR1	pdb	5TZR	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/O14842.pdb	
O14843	FFAR3	pdb	8J20	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O14843.pdb	
O15303	GRM6	pdb	9LLZ	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O15303.pdb	
O15552	FFAR2	pdb	8J24	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O15552.pdb	
O43193	MLNR	pdb	9JMC	2.57	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O43193.pdb	converted_from_mmcif
O43603	GALR2	pdb	7WQ4	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O43603.pdb	
O43613	HCRTR1	pdb	6TOD	2.11	X-RAY DIFFRACTION	product/target_screen/structures/raw/O43613.pdb	
O43614	HCRTR2	pdb	5WQC	1.96	X-RAY DIFFRACTION	product/target_screen/structures/raw/O43614.pdb	
O60241	ADGRB2	pdb	8OEK	2.22	X-RAY DIFFRACTION	product/target_screen/structures/raw/O60241.pdb	
O60242	ADGRB3	pdb	4DLO	2.30	X-RAY DIFFRACTION	product/target_screen/structures/raw/O60242.pdb	
O60353	FZD6	pdb	25GN	3.20	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O60353.pdb	
O75084	FZD7	pdb	6NE2	1.30	X-RAY DIFFRACTION	product/target_screen/structures/raw/O75084.pdb	
O75473	LGR5	pdb	4UFR	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/O75473.pdb	
O75899	GABBR2	pdb	4PAS	1.62	X-RAY DIFFRACTION	product/target_screen/structures/raw/O75899.pdb	
O95136	S1PR2	pdb	7T6B	3.19	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O95136.pdb	
O95490	ADGRL2	pdb	9E51	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/O95490.pdb	
O95977	S1PR4	pdb	2DCO		SOLUTION NMR	product/target_screen/structures/raw/O95977.pdb	
P03999	OPN1SW	pdb	8Y02	2.61	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P03999.pdb	
P04000	OPN1LW	pdb	8IU2	3.35	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P04000.pdb	
P04001	OPN1MW	pdb	8Y01	2.48	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P04001.pdb	
P04201	MAS1	pdb	9X3Z	2.54	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P04201.pdb	
P07550	ADRB2	pdb	1GQ4	1.90	X-RAY DIFFRACTION	product/target_screen/structures/raw/P07550.pdb	
P08100	RHO	pdb	5W0P	3.01	X-RAY DIFFRACTION	product/target_screen/structures/raw/P08100.pdb	
P08172	CHRM2	pdb	5ZKC	2.30	X-RAY DIFFRACTION	product/target_screen/structures/raw/P08172.pdb	
P08173	CHRM4	pdb	7TRP	2.40	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P08173.pdb	
P08588	ADRB1	pdb	7BVQ	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/P08588.pdb	
P08908	HTR1A	pdb	9HYI	2.30	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P08908.pdb	converted_from_mmcif
P08912	CHRM5	pdb	6OL9	2.54	X-RAY DIFFRACTION	product/target_screen/structures/raw/P08912.pdb	
P08913	ADRA2A	pdb	6KUX	2.70	X-RAY DIFFRACTION	product/target_screen/structures/raw/P08913.pdb	
P0DMS8	ADORA3	pdb	8X17	3.19	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P0DMS8.pdb	
P11229	CHRM1	pdb	6ZFZ	2.17	X-RAY DIFFRACTION	product/target_screen/structures/raw/P11229.pdb	
P13945	ADRB3	pdb	9IJE	2.34	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P13945.pdb	
P14416	DRD2	pdb	5AER	2.19	X-RAY DIFFRACTION	product/target_screen/structures/raw/P14416.pdb	
P16473	TSHR	pdb	2XWT	1.90	X-RAY DIFFRACTION	product/target_screen/structures/raw/P16473.pdb	
P18089	ADRA2B	pdb	6K41	2.90	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P18089.pdb	
P18825	ADRA2C	pdb	6KUW	2.80	X-RAY DIFFRACTION	product/target_screen/structures/raw/P18825.pdb	
P20309	CHRM3	pdb	8EA0	2.56	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P20309.pdb	
P21452	TACR2	pdb	7XWO	2.70	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P21452.pdb	
P21453	S1PR1	pdb	7TD4	2.60	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P21453.pdb	
P21462	FPR1	pdb	7VFX	2.80	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P21462.pdb	
P21554	CNR1	pdb	23IV	2.42	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P21554.pdb	converted_from_mmcif
P21728	DRD1	pdb	9I54	2.72	ELECTRON MICROSCOPY	product/target_screen/structures/raw/P21728.pdb	converted_from_mmcif
P21730	C5AR1	pdb	6C1R	2.20	X-RAY DIFFRACTION	product/target_screen/structures/raw/P21730.pdb	
P21731	TBXA2R	pdb	6IIU	2.50	X-RAY DIFFRACTION	product/target_screen/structures/raw/P21731.pdb	
P21917	DRD4	pdb	5WIU	1.96	X-RAY DIFFRACTION	product/target_screen/structures/raw/P21917.pdb	
