ligand_id	receptor	score
00260564644f5bcf	lpar1/7YU3	-8.3
002b700329d1247e	lpar1/7YU3	-9.1
0033aff15c9bf575	lpar1/7YU3	-9.1
003cd95956db2488	lpar1/7YU3	-9.2
0084c5ebb5a94917	lpar1/7YU3	-6.6
0089f4c5f7a1fcc8	lpar1/7YU3	-8.7
00a766ca3d0a1d4f	lpar1/7YU3	-8.9
00bcd1f6f33a3c91	lpar1/7YU3	-7.1
00d2a066766a7e35	lpar1/7YU3	-9.2
00d409eb62d7397a	lpar1/7YU3	-9.2
00d682808b0d4332	lpar1/7YU3	-6.3
00e44cb45f8ab601	lpar1/7YU3	-9.4
00f7f8ba0ac7b0e5	lpar1/7YU3	-7.9
00f962744cc45b8c	lpar1/7YU3	-9.6
01059fa6dc90894a	lpar1/7YU3	-9.7
0134d073c943f185	lpar1/7YU3	-9.3
016d9f2838af66c0	lpar1/7YU3	-8.4
01799c36f36d1260	lpar1/7YU3	-7.9
019b2756734548c9	lpar1/7YU3	-8.4
01a753fbb00d02a3	lpar1/7YU3	-9.0
01ba2cf8a2328f88	lpar1/7YU3	-9.3
01d8df21052864ee	lpar1/7YU3	-7.9
01e3e55636bb193e	lpar1/7YU3	-10.4
01f467ad6efb4242	lpar1/7YU3	-9.1
020d1677f4a0e404	lpar1/7YU3	-9.9
022a9696b3553793	lpar1/7YU3	-10.0
02377138fc67f06c	lpar1/7YU3	-8.2
023d2140e1dfcdf1	lpar1/7YU3	-10.9
025338af0330fcdb	lpar1/7YU3	-9.7
029cdaf48a945242	lpar1/7YU3	-8.9
02a5c4781f18d068	lpar1/7YU3	-8.5
02bfabd367f5b752	lpar1/7YU3	-8.9
02c7e950e749bec2	lpar1/7YU3	-9.3
02ce6daeec10a007	lpar1/7YU3	-8.1
02de1845f1c23787	lpar1/7YU3	-9.1
02deece0c719476f	lpar1/7YU3	-9.5
02e7ebe0c24f9dc6	lpar1/7YU3	-9.1
02e911f238bbbaf3	lpar1/7YU3	-8.6
03199c0ec5c71096	lpar1/7YU3	-8.9
03228f6b63cebc48	lpar1/7YU3	-7.9
033a79e1148ad737	lpar1/7YU3	-8.0
0341d0078a551616	lpar1/7YU3	-9.4
035652eae224236d	lpar1/7YU3	-8.5
037bb07cff599b64	lpar1/7YU3	-8.6
03930b0547432b9b	lpar1/7YU3	-7.1
03a712dfc2a6d590	lpar1/7YU3	-8.0
03d4677d5cc534ca	lpar1/7YU3	-10.0
03db68cdea4b8518	lpar1/7YU3	-9.1
03e0e7187a83fe68	lpar1/7YU3	-8.4
03e5902e6ff9f5f8	lpar1/7YU3	-8.7
03efb8fe14a93115	lpar1/7YU3	-8.3
042776d8ac23034a	lpar1/7YU3	-9.1
043a865e46b0b237	lpar1/7YU3	-8.4
0446ee22aa2bf192	lpar1/7YU3	-7.8
046be683e82da891	lpar1/7YU3	-9.8
047ce31242b948b7	lpar1/7YU3	-9.4
04958b6a60d371fe	lpar1/7YU3	-9.3
049feaff3d829959	lpar1/7YU3	-10.1
04ad6e6bb18f4284	lpar1/7YU3	-8.2
04bd6ddbcd4703a4	lpar1/7YU3	-8.4
04dd1777ad1b07a7	lpar1/7YU3	-3.5
0582f7afcf4e13ea	lpar1/7YU3	-7.7
058fcb4401d5445a	lpar1/7YU3	-8.8
05909260126938e3	lpar1/7YU3	-5.4
05a89be934cc0f7b	lpar1/7YU3	-7.5
05da9efafe95a7a8	lpar1/7YU3	-7.9
05f8b7f4e8f243ba	lpar1/7YU3	-9.1
05fcb2e613c6bad0	lpar1/7YU3	-9.5
0652fb35dfb31d1a	lpar1/7YU3	-8.6
067e5a225b8c5ed5	lpar1/7YU3	-7.6
069706b5ac751dc2	lpar1/7YU3	-8.7
069dcc9f19cd5524	lpar1/7YU3	-10.1
06ac8608a4458eb6	lpar1/7YU3	-10.5
06dafb79de29b739	lpar1/7YU3	-7.8
06db0aafe454a74d	lpar1/7YU3	-6.8
06e7fb4dd821a43c	lpar1/7YU3	-10.7
06f2e360cb14791a	lpar1/7YU3	-7.8
06fc7e30bf8d971c	lpar1/7YU3	-8.4
0703bdf7f08eae61	lpar1/7YU3	-9.4
0709fc0891b60665	lpar1/7YU3	-7.5
07173992d00d095b	lpar1/7YU3	-8.0
071b1f5a562e91bc	lpar1/7YU3	-9.2
0747563320a8d401	lpar1/7YU3	-8.4
076f990333cad32c	lpar1/7YU3	-8.0
07903fbd98b23ee1	lpar1/7YU3	-7.1
