acc	status	note
O15554_6CNM	failed	no_valid_pocket
O15554_6CNN	failed	no_valid_pocket
O15554_6CNO	failed	no_valid_pocket
O15554_6D42	failed	no_valid_pocket
O15554_9ED1	failed	no_valid_pocket
O15554_9O48	failed	no_valid_pocket
O15554_9O51	failed	no_valid_pocket
O15554_9O52	failed	no_valid_pocket
O15554_9O53	failed	no_valid_pocket
O15554_9O5O	failed	no_valid_pocket
O15554_9OA8	failed	no_valid_pocket
O15554_9Y5Q	failed	no_valid_pocket
O15554_9YDZ	failed	no_valid_pocket
O15554_9ZPO	failed	no_valid_pocket
O15554_9ZPT	failed	no_valid_pocket
O15554_9ZRK	failed	no_valid_pocket
O15554_9ZRL	failed	no_valid_pocket
O15554_af2	failed	no_valid_pocket
O95069_4TWK	failed	no_valid_pocket
O95069_af2	failed	no_valid_pocket
P08172_3UON	failed	no_valid_pocket
P08172_4MQS	failed	no_valid_pocket
P08172_4MQT	failed	no_valid_pocket
P08172_5YC8	failed	no_valid_pocket
P08172_5ZK3	failed	no_valid_pocket
P08172_5ZK8	failed	no_valid_pocket
P08172_5ZKB	failed	no_valid_pocket
P08172_5ZKC	failed	no_valid_pocket
P08172_6OIK	failed	no_valid_pocket
P08172_6U1N	failed	no_valid_pocket
P08172_7T8X	failed	no_valid_pocket
P08172_7T90	failed	no_valid_pocket
P08172_7T94	failed	no_valid_pocket
P08172_7T96	failed	no_valid_pocket
P08172_8J8R	failed	no_valid_pocket
P08172_8J97	failed	no_valid_pocket
P08172_8JAF	failed	no_valid_pocket
P08172_af2	failed	no_valid_pocket
P08173_5DSG	failed	no_valid_pocket
P08173_6D9H	failed	no_valid_pocket
P08173_6KP6	failed	no_valid_pocket
P08173_7LD3	failed	no_valid_pocket
P08173_7LD4	failed	no_valid_pocket
P08173_7TRK	failed	no_valid_pocket
P08173_7TRP	failed	no_valid_pocket
P08173_7TRQ	failed	no_valid_pocket
P08173_7TRS	failed	no_valid_pocket
P08173_7V68	failed	no_valid_pocket
P08173_7V69	failed	no_valid_pocket
P08173_7V6A	failed	no_valid_pocket
