target_id	target_family	membership_sources	uniprot_entries	gene_aliases	protein_name	protein_length	keywords	is_calibration_control	ranking_bonus	state_observed	intended_direction	state_effect_disease_minus_desired	state_signal_to_noise	state_sign_probability	disease_expression_fraction	desired_expression_fraction	xatlas_observed	xatlas_good_cells	xatlas_batches	xatlas_knockdown_reversal	xatlas_knockdown_reversal_cosine	xatlas_batch_positive_fraction	xatlas_batch_score_se	directional_xatlas_reversal	xatlas_batch_direction_fraction	xatlas_implied_direction	state_xatlas_direction_agreement	signed_direction_directly_perturbed	direction_evidence_class	direction_evidence_interpretation	norman_clean_crispra_cells	yeast_orthologs	yeast_route_status	yeast_validation_route	yeast_nonexecutability_reason	mammalian_validation_route	expression_gate	state_direction_gate	xatlas_coverage_gate	xatlas_direction_gate	baseline_eligible	uncertainty	human_evidence	pareto_front
GPR135	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IZ08		G protein-coupled receptor 135	494		False	0.0	True	activate	-0.0162394954628932	2.797255123809268	0.996	0.014940625110116635	0.018931245159624816	True	45	38	-0.20603999160149955	-0.2375334160188529	0.34210526315789475	0.11719503412954767	0.20603999160149955	0.6578947368421053	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_gpcr	Heterologously express the human GPCR in S. cerevisiae, match it to a chimeric G-alpha/reporter circuit, and measure signed agonist/antagonist response.	No mapped native yeast ortholog; surface trafficking, ligand access and G-protein coupling must pass construct-level QC before this route is executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
GPR39	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	O43194		G protein-coupled receptor 39	453		False	0.0	True	activate	-0.13612776839484775	2.12324314449893	0.98	0.21959899926001622	0.2765682815592462	True	80	48	-0.19707543237158381	-0.30353379996731755	0.2916666666666667	0.12287872107984907	0.19707543237158381	0.7083333333333333	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_gpcr	Heterologously express the human GPCR in S. cerevisiae, match it to a chimeric G-alpha/reporter circuit, and measure signed agonist/antagonist response.	No mapped native yeast ortholog; surface trafficking, ligand access and G-protein coupling must pass construct-level QC before this route is executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
LGR4	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9BXB1	GPR48	Leucine-rich repeat-containing G protein-coupled receptor 4 (G protein-coupled receptor 48)	951		False	0.0	True	activate	-0.3804837133114537	5.748830092772175	1.0	0.1811550794601642	0.36012391360468116	True	87	55	-0.17712499860457637	-0.275072204915382	0.2727272727272727	0.07797791507989428	0.17712499860457637	0.7272727272727273	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_gpcr	Heterologously express the human GPCR in S. cerevisiae, match it to a chimeric G-alpha/reporter circuit, and measure signed agonist/antagonist response.	No mapped native yeast ortholog; surface trafficking, ligand access and G-protein coupling must pass construct-level QC before this route is executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
LRRC8B	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	LRC8B_HUMAN	KIAA0231;UNQ6413/PRO21207	Volume-regulated anion channel subunit LRRC8B (Leucine-rich repeat-containing protein 8B) (T-cell activation leucine repeat-rich protein) (TA-LRRP)		Cell membrane;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Ion channel;Ion transport;Leucine-rich repeat;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Repeat;Transmembrane;Transmembrane helix;Transport	False	0.0	True	activate	-0.046850258639703185	2.9886050138309526	0.999	0.05070650833362698	0.07959728078478616	True	69	49	-0.2048161786500583	-0.2577617528781032	0.3469387755102041	0.09194696956671379	0.2048161786500583	0.653061224489796	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_multicomponent_channel	Reconstitute the human pore-forming complex and required accessory subunits in yeast; quantify membrane trafficking and ion-selective or membrane-potential readout.	No mapped native yeast ortholog and the snapshot indicates a multicomponent or regulatory channel; a single-gene yeast assay would be non-executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
MCOLN2	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	MCLN2_HUMAN		Mucolipin-2 (Transient receptor potential channel mucolipin 2) (TRPML2)		3D-structure;Adaptive immunity;Alternative splicing;Calcium;Calcium channel;Calcium transport;Cell membrane;Disulfide bond;Endosome;Immunity;Innate immunity;Ion channel;Ion transport;Lysosome;Membrane;Protein transport;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport	False	0.0	True	activate	-0.25047828955090756	6.337889569944536	1.0	0.077733535360654	0.19361500731434472	True	78	56	-0.1335541960487272	-0.21075897913650238	0.35714285714285715	0.08743431746827372	0.1335541960487272	0.6428571428571428	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_channel	Express the human channel in yeast and couple it to membrane-potential, ion-flux or growth-rescue readouts under a predeclared ionic condition.	No mapped native yeast ortholog; membrane trafficking, orientation and functional conductance must be demonstrated before compound screening.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
OPN3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q9H1Y3	ECPN	Opsin-3 (Encephalopsin) (Panopsin)	402		False	0.0	True	activate	-0.0707357886324947	6.540776732697252	1.0	0.021776665844462455	0.06462438688581017	True	97	67	-0.055732155359203325	-0.09027517373713624	0.40298507462686567	0.09924894867618023	0.055732155359203325	0.5970149253731343	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_gpcr	Heterologously express the human GPCR in S. cerevisiae, match it to a chimeric G-alpha/reporter circuit, and measure signed agonist/antagonist response.	No mapped native yeast ortholog; surface trafficking, ligand access and G-protein coupling must pass construct-level QC before this route is executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
SCNN1B	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	SCNNB_HUMAN		Epithelial sodium channel subunit beta (Beta-ENaC) (ENaC subunit beta) (ENaCB) (Epithelial Na(+) channel subunit beta) (Amiloride-sensitive sodium channel subunit beta) (Beta-NaCH) (Nonvoltage-gated sodium channel 1 subunit beta) (SCNEB)		3D-structure;Alternative splicing;Cell membrane;Cytoplasmic vesicle;Disease variant;Disulfide bond;Glycoprotein;Ion channel;Ion transport;Membrane;Phosphoprotein;Proteomics identification;Reference proteome;Sodium;Sodium channel;Sodium transport;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	False	0.0	True	activate	-0.6098158229433466	6.310614343648346	1.0	0.056978751894006134	0.31675415196626794	True	227	86	-0.13025252818045385	-0.3086454298194183	0.3372093023255814	0.08380164235002528	0.13025252818045385	0.6627906976744187	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_multicomponent_channel	Reconstitute the human pore-forming complex and required accessory subunits in yeast; quantify membrane trafficking and ion-selective or membrane-potential readout.	No mapped native yeast ortholog and the snapshot indicates a multicomponent or regulatory channel; a single-gene yeast assay would be non-executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
TRPM4	ion_channel	UniProt_reviewed_human_keyword_snapshot:ion_channel_human.uniprot.reviewed.2026-08-13.tsv	TRPM4_HUMAN	LTRPC4	Transient receptor potential cation channel subfamily M member 4 (hTRPM4) (Calcium-activated non-selective cation channel 1) (Long transient receptor potential channel 4) (LTrpC-4) (LTrpC4) (Melastatin-4)		3D-structure;Adaptive immunity;Alternative splicing;ATP-binding;Calcium;Calmodulin-binding;Cell membrane;Coiled coil;Disease variant;Disulfide bond;Endoplasmic reticulum;Glycoprotein;Golgi apparatus;Immunity;Ion channel;Ion transport;Membrane;Metal-binding;Nucleotide-binding;Palmoplantar keratoderma;Phosphoprotein;Proteomics identification;Reference proteome;Transmembrane;Transmembrane helix;Transport;Ubl conjugation	False	0.0	True	activate	-0.08929872900868457	2.045695272668556	0.982	0.16473448676838506	0.24696669821874193	True	268	101	-0.13864532565745397	-0.36234930338069343	0.24752475247524752	0.06509461056850055	0.13864532565745397	0.7524752475247525	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_channel	Express the human channel in yeast and couple it to membrane-potential, ion-flux or growth-rescue readouts under a predeclared ionic condition.	No mapped native yeast ortholog; membrane trafficking, orientation and functional conductance must be demonstrated before compound screening.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	1
ADGRA3	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	Q8IWK6	GPR125;UNQ556/PRO1113	Adhesion G protein-coupled receptor A3 (G protein-coupled receptor 125)	1321		False	0.0	True	activate	-0.27681370017429185	4.221875928480148	1.0	0.2287254660136016	0.34231133293176147	True	45	36	-0.06607844685004682	-0.07816639800714228	0.3611111111111111	0.14734809965790682	0.06607844685004682	0.6388888888888888	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_gpcr	Heterologously express the human GPCR in S. cerevisiae, match it to a chimeric G-alpha/reporter circuit, and measure signed agonist/antagonist response.	No mapped native yeast ortholog; surface trafficking, ligand access and G-protein coupling must pass construct-level QC before this route is executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	2
C5AR1	gpcr	UniProt_reviewed_human_keyword_snapshot:gpcr_human.uniprot.reviewed.2026-08-13.tsv	P21730	C5AR;C5R1	C5a anaphylatoxin chemotactic receptor 1 (C5a anaphylatoxin chemotactic receptor) (C5a-R) (C5aR) (CD antigen CD88)	350		False	0.0	True	activate	-0.02584707827190868	1.618974307047787	0.943	0.02346805736636245	0.05042595301609156	True	113	73	-0.18926324987122495	-0.3156427851277426	0.3424657534246575	0.07978561794398233	0.18926324987122495	0.6575342465753424	activate	True	False	opposite_direction_crispri_counterfactual_requires_crispra	X-Atlas measured knockdown, not activation. The proposed activating direction assumes a reversible response and must be tested by CRISPRa or inducible cDNA.	0		conditional_humanized_gpcr	Heterologously express the human GPCR in S. cerevisiae, match it to a chimeric G-alpha/reporter circuit, and measure signed agonist/antagonist response.	No mapped native yeast ortholog; surface trafficking, ligand access and G-protein coupling must pass construct-level QC before this route is executable.	Use CRISPRa or inducible cDNA in HCT116 and an independent CRC organoid; require rescue/reversal and target-proximal functional readout because X-Atlas CRISPRi tests the opposite direction.	True	True	True	True	True	activation_not_directly_tested_in_crc_context;becker_h5ad_is_40000_cell_heuristic_epithelial_subsample;becker_bootstrap_is_sample_level_not_donor_clustered;xatlas_is_hct116_transcriptomic_not_drug_efficacy;yeast_route_is_proposed_not_experimentally_confirmed	official-metadata Becker sample-pseudobulk state contrast; measured within-batch X-Atlas HCT116 CRISPRi transcriptomic response; opposite_direction_crispri_counterfactual_requires_crispra	2
