target_chembl_id	target_gene
CHEMBL2095166	Adrb1 Adrb2 Adrb3
CHEMBL2095169	DRD2 DRD3
CHEMBL2095170	ESR2 ESR1
CHEMBL2095173	ATP4A ATP4B
CHEMBL2095174	SAE1 UBA2
CHEMBL2095177	Cacna1c Cacna1s Cacna1d
CHEMBL2095179	Adcy1 Adcy4 Adcy5 Adcy2 Adcy6 Adcy8 Adcy3
CHEMBL2095182	TUBB4B TUBB1 TUBA3C TUBA4A TUBB3 TUBA1A TUBB4A TUBB8 TUBB TUBA1B TUBA1C TUBA3E TUBB2A TUBB2B TUBB6
CHEMBL2095186	ATP1A1 ATP1B2 ATP1B1 ATP1A2 ATP1B3 ATP1A3 ATP1A4 FXYD2
CHEMBL2095188	GSK3A GSK3B
CHEMBL2095189	PDGFRB PDGFRA
CHEMBL2095191	CSNK2B CSNK2A1 CSNK2A2
CHEMBL2095200	HTR2B HTR2A HTR2C
CHEMBL2095202	TNNC1 TNNI3 TNNT2
CHEMBL2095204	PRSS1 PRSS2 PRSS3
CHEMBL2095205	MAOA MAOB
CHEMBL2095229	CACNA1C CACNA1S CACNA1D CACNA1F
CHEMBL2095396	DRD2 DRD4
CHEMBL2096662	HTR2A HTR2C
CHEMBL2096671	Htr2b Htr2c Htr2a
CHEMBL2096681	Adora1 Adora3
CHEMBL2096682	SCN1A SCN2A SCN3A
CHEMBL2096684	Trpv4 Trpv2 Trpv1
CHEMBL2096905	DRD2 DRD3 DRD5 DRD4 DRD1
CHEMBL2096907	PRKAA2 PRKAB2 PRKAG1 PRKAG2 PRKAB1 PRKAA1 PRKAG3
CHEMBL2096910	Drd1 Drd2
CHEMBL2096970	DRD1 DRD2
CHEMBL2096972	KCNJ11 ABCC8
CHEMBL2096973	NMT1 NMT2
CHEMBL2096984	CELA2A CELA1
CHEMBL2097165	DRD3 DRD4
CHEMBL2097168	Prkca Prkcb Prkcg
CHEMBL2097175	Drd2 Htr2b Htr2c Htr2a
CHEMBL210	ADRB2
CHEMBL2104	P2RX4
CHEMBL2109	MAP2K3
CHEMBL2109245	Htr2b Htr2c Drd2 Htr2a
CHEMBL211	CHRM2
CHEMBL2111288	CCNH CDK7
CHEMBL2111341	DRD2 DRD1
CHEMBL2111342	Drd3 Drd2
CHEMBL2111345	PRKAG1 PRKAB1 PRKAA1
CHEMBL2111353	AKT2 AKT3 AKT1
CHEMBL2111354	TUBA1A
CHEMBL2111359	Drd4 Drd5 Drd1 Drd2 Drd3
CHEMBL2111369	IMPDH1 IMPDH2
CHEMBL2111389	CCNT1 CDK9
CHEMBL2111406	Drd2 Htr2a
CHEMBL2111444	CCNE1 CCNE2 CDK3
CHEMBL2111446	PRKACA PRKACB PRKAR2B PRKAR2A
CHEMBL2111448	CCND3 CDK6
CHEMBL2111452	Adra1d Adra1b Adra1a
CHEMBL2111458	CSNK1G1 CSNK1G2 CSNK1D CSNK1E CSNK1A1
CHEMBL2111468	DRD2 HTR2A
CHEMBL2116	PRKAA2
CHEMBL2129	Ppara
CHEMBL213	ADRB1
CHEMBL214	HTR1A
CHEMBL2146302	GLS
CHEMBL2146303	
CHEMBL2146304	Ddit3
CHEMBL2146305	CGA
CHEMBL2146306	RACGAP1
CHEMBL2146308	PDIA6
CHEMBL2146309	clpP
CHEMBL2146310	vpr
CHEMBL2146312	WRN
CHEMBL2146314	SKN7
CHEMBL2146315	Nr1i2
CHEMBL2146316	Tb08.30K1.730
CHEMBL2147	PIM1
CHEMBL2148	JAK3
CHEMBL215	ALOX5
CHEMBL2150835	fabI
CHEMBL2157	CXCL8
CHEMBL216	CHRM1
CHEMBL2163	Gc
CHEMBL2163183	SIRT5
CHEMBL217	DRD2
CHEMBL2171	MAP2K6
CHEMBL2179	GBA1
CHEMBL218	CNR1
CHEMBL2185	AURKB
CHEMBL2189151	MYH9
CHEMBL2189159	Ido2
CHEMBL2189163	CYCS
CHEMBL219	DRD4
CHEMBL2193	ARSA
CHEMBL220	ACHE
CHEMBL2203	MLNR
CHEMBL2208	MAPKAPK2
CHEMBL221	PTGS1
CHEMBL2219	PTPN7
CHEMBL222	SLC6A2
CHEMBL2221347	KCNQ1 KCNE1
CHEMBL223	ADRA1D
CHEMBL2231	CYP1A1
CHEMBL224	HTR2A
CHEMBL2243	FAAH
CHEMBL225	HTR2C
CHEMBL2250	BLK
CHEMBL226	ADORA1
CHEMBL2265	CES1
CHEMBL227	AGTR1
CHEMBL2275	SORD
CHEMBL2276	MAPK8
CHEMBL228	SLC6A4
CHEMBL2284	GAPDH
CHEMBL2288	PIN1
CHEMBL229	ADRA1A
CHEMBL2292	DYRK1A
CHEMBL2299	Ephx1
CHEMBL230	PTGS2
CHEMBL2304406	DRD3
CHEMBL2304421	ESR1 ESR2
CHEMBL231	HRH1
CHEMBL2311238	EBPL
CHEMBL2321614	KCNK9
CHEMBL2321615	KCNK2
CHEMBL2321640	FXN
CHEMBL2326	CA7
CHEMBL2327	TACR2
CHEMBL233	OPRM1
CHEMBL2331059	DHCR24
CHEMBL2331065	FTO
CHEMBL234	DRD3
CHEMBL2343	SGK1
CHEMBL2345	RPS6KA3
CHEMBL2346	SULT1E1
CHEMBL2349	PHKG2
CHEMBL235	PPARG
CHEMBL236	OPRD1
CHEMBL2362975	
CHEMBL2362976	S100A4
CHEMBL2362978	RAD52
CHEMBL2362980	PAX8
CHEMBL2362981	TARDBP
CHEMBL2363055	
CHEMBL2364031	
CHEMBL2366061	
CHEMBL2366062	
CHEMBL2366063	
CHEMBL2366064	
CHEMBL2366065	
CHEMBL2366066	
CHEMBL2366067	
CHEMBL2366068	
CHEMBL2366069	
CHEMBL2366070	
CHEMBL2366071	
CHEMBL2366072	
CHEMBL2366073	
CHEMBL2366074	
CHEMBL2366075	
CHEMBL2366076	
CHEMBL2366077	
CHEMBL2366078	
CHEMBL2366079	
CHEMBL2366081	
CHEMBL2366082	
CHEMBL2366083	
CHEMBL2366084	
CHEMBL2366085	
CHEMBL2366086	
CHEMBL2366087	
CHEMBL2366089	
CHEMBL2366090	
CHEMBL2366091	
CHEMBL2366092	
CHEMBL2366093	
CHEMBL2366094	
CHEMBL2366095	
CHEMBL2366096	
CHEMBL2366097	
CHEMBL2366098	
CHEMBL2366099	
CHEMBL2366100	
CHEMBL2366101	
CHEMBL2366102	
CHEMBL2366104	
CHEMBL2366105	
CHEMBL2366106	
CHEMBL2366107	
CHEMBL2366108	
CHEMBL2366109	
CHEMBL2366110	
CHEMBL2366111	
CHEMBL2366112	
CHEMBL2366113	
CHEMBL2366114	
CHEMBL2366115	
CHEMBL2366116	
CHEMBL2366118	
CHEMBL2366119	
CHEMBL2366120	
CHEMBL2366121	
CHEMBL2366122	
CHEMBL2366123	
CHEMBL2366124	
CHEMBL2366125	
CHEMBL2366126	
CHEMBL2366127	
CHEMBL2366130	
CHEMBL2366131	
CHEMBL2366132	
CHEMBL2366133	
CHEMBL2366135	
CHEMBL2366136	
CHEMBL2366137	
CHEMBL2366138	
CHEMBL2366139	
CHEMBL2366140	
CHEMBL2366141	
CHEMBL2366142	
CHEMBL2366143	
CHEMBL2366144	
CHEMBL2366145	
CHEMBL2366146	
CHEMBL2366147	
CHEMBL2366148	
CHEMBL2366149	
CHEMBL2366152	
CHEMBL2366153	
CHEMBL2366154	
CHEMBL2366155	
CHEMBL2366156	
CHEMBL2366157	
CHEMBL2366159	
CHEMBL2366160	
CHEMBL2366161	
CHEMBL2366162	
CHEMBL2366163	
CHEMBL2366165	
CHEMBL2366166	
CHEMBL2366167	
CHEMBL2366168	
CHEMBL2366169	
CHEMBL2366170	
CHEMBL2366171	
CHEMBL2366172	
CHEMBL2366173	
CHEMBL2366174	
CHEMBL2366175	
CHEMBL2366176	
CHEMBL2366177	
CHEMBL2366178	
CHEMBL2366179	
CHEMBL2366180	
CHEMBL2366181	
CHEMBL2366182	
CHEMBL2366183	
CHEMBL2366184	
CHEMBL2366185	
CHEMBL2366186	
CHEMBL2366187	
CHEMBL2366188	
CHEMBL2366189	
CHEMBL2366190	
CHEMBL2366191	
CHEMBL2366192	
CHEMBL2366193	
CHEMBL2366194	
CHEMBL2366195	
CHEMBL2366196	
CHEMBL2366198	
CHEMBL2366199	
CHEMBL2366200	
CHEMBL2366201	
CHEMBL2366202	
CHEMBL2366203	
CHEMBL2366204	
CHEMBL2366205	
CHEMBL2366206	
CHEMBL2366207	
CHEMBL2366208	
CHEMBL2366209	
CHEMBL2366210	
CHEMBL2366211	
CHEMBL2366212	
CHEMBL2366213	
CHEMBL2366214	
CHEMBL2366215	
CHEMBL2366216	
CHEMBL2366217	
CHEMBL2366218	
CHEMBL2366219	
CHEMBL2366220	
CHEMBL2366221	
CHEMBL2366222	
CHEMBL2366223	
CHEMBL2366224	
CHEMBL2366225	
CHEMBL2366226	
CHEMBL2366227	
CHEMBL2366228	
CHEMBL2366229	
CHEMBL2366230	
CHEMBL2366231	
CHEMBL2366232	
CHEMBL2366233	
CHEMBL2366234	
CHEMBL2366235	
CHEMBL2366236	
CHEMBL2366237	
CHEMBL2366238	
CHEMBL2366239	
CHEMBL2366240	
CHEMBL2366241	
CHEMBL2366242	
CHEMBL2366243	
CHEMBL2366245	
CHEMBL2366246	
CHEMBL2366247	
CHEMBL2366248	
CHEMBL2366250	
CHEMBL2366251	
CHEMBL2366252	
CHEMBL2366253	
CHEMBL2366254	
CHEMBL2366255	
CHEMBL2366256	
CHEMBL2366257	
CHEMBL2366258	
CHEMBL2366259	
CHEMBL2366260	
CHEMBL2366261	
CHEMBL2366262	
CHEMBL2366263	
CHEMBL2366264	
CHEMBL2366265	
CHEMBL2366266	
CHEMBL2366267	
CHEMBL2366268	
CHEMBL2366271	
CHEMBL2366272	
CHEMBL2366273	
CHEMBL2366274	
CHEMBL2366275	
CHEMBL2366276	
CHEMBL2366277	
CHEMBL2366278	
CHEMBL2366279	
CHEMBL2366280	
CHEMBL2366281	
CHEMBL2366283	
CHEMBL2366284	
CHEMBL2366285	
CHEMBL2366286	
CHEMBL2366287	
CHEMBL2366290	
CHEMBL2366291	
CHEMBL2366292	
CHEMBL2366293	
CHEMBL2366294	
CHEMBL2366295	
CHEMBL2366296	
CHEMBL2366297	
CHEMBL2366298	
CHEMBL2366299	
CHEMBL2366300	
CHEMBL2366301	
CHEMBL2366302	
CHEMBL2366303	
CHEMBL2366304	
CHEMBL2366305	
CHEMBL2366306	
CHEMBL2366307	
CHEMBL2366308	
CHEMBL2366309	
CHEMBL2366310	
CHEMBL2366311	
CHEMBL2366312	
CHEMBL2366313	
CHEMBL2366314	
CHEMBL2366315	
CHEMBL2366316	
CHEMBL2366317	
CHEMBL2366318	
CHEMBL2366319	
CHEMBL2366320	
CHEMBL2366322	
CHEMBL2366323	
CHEMBL2366324	
CHEMBL2366325	
CHEMBL2366326	
CHEMBL2366327	
CHEMBL2366328	
CHEMBL2366329	
CHEMBL2366330	
CHEMBL2366331	
CHEMBL2366332	
CHEMBL2366333	
CHEMBL2366334	
CHEMBL2366335	
CHEMBL2366337	
CHEMBL2366338	
CHEMBL2366339	
CHEMBL2366340	
CHEMBL2366341	
CHEMBL2366342	
CHEMBL2366343	
CHEMBL2366344	
CHEMBL2366345	
CHEMBL2366346	
CHEMBL2366347	
CHEMBL2366348	
CHEMBL2366349	
CHEMBL2366351	
CHEMBL2366352	
CHEMBL2366353	
CHEMBL2366354	
CHEMBL2366355	
CHEMBL2366356	
CHEMBL2366357	
CHEMBL2366358	
CHEMBL2366359	
CHEMBL2366360	
CHEMBL2366361	
CHEMBL2366362	
CHEMBL2366363	
CHEMBL2366364	
CHEMBL2366365	
CHEMBL2366366	
CHEMBL2366367	
CHEMBL2366368	
CHEMBL2366369	
CHEMBL2366370	
CHEMBL2366371	
CHEMBL2366372	
CHEMBL2366373	
CHEMBL2366456	CACNA1C
CHEMBL2366686	
CHEMBL2366819	
CHEMBL2366834	
CHEMBL2366868	
CHEMBL2366930	
CHEMBL2366975	
CHEMBL2366999	
CHEMBL2367317	
CHEMBL2367379	
CHEMBL2367428	
CHEMBL2367449	
CHEMBL237	OPRK1
CHEMBL2373	C5AR1
CHEMBL2374	PSENEN
CHEMBL238	SLC6A3
CHEMBL2382	CAPN2
CHEMBL2384891	ORAI1
CHEMBL2384898	GPR18
CHEMBL2386	CTRC
CHEMBL239	PPARA
CHEMBL2392	POLB
CHEMBL2396508	PTPRS
CHEMBL240	KCNH2
CHEMBL2407	CELA2A
CHEMBL241	PDE3A
CHEMBL2414	CCR4
CHEMBL242	ESR2
CHEMBL2424	GLO1
CHEMBL2426	CSNK1G1
CHEMBL2428	MYLK
CHEMBL243	pol
CHEMBL2430	FKBP1B
CHEMBL2431	AKT2
CHEMBL2434	CXCR2
CHEMBL2447	DCK
CHEMBL245	CHRM3
CHEMBL2452	Rnpep
CHEMBL2457	ALOX15B
CHEMBL246	ADRB3
CHEMBL2462	Th
CHEMBL2468	DAPK3
CHEMBL247	pol
CHEMBL248	ELANE
CHEMBL2480	Lck
CHEMBL2487	APP
CHEMBL249	TACR1
CHEMBL2490	HTR2A
CHEMBL2493	CAMK1
CHEMBL2494	CAMK4
CHEMBL250	PTAFR
CHEMBL2508	CDK6
CHEMBL251	ADORA2A
CHEMBL252	EDNRA
CHEMBL2524	GLA
CHEMBL2527	CHEK2
CHEMBL253	CNR2
CHEMBL2534	PDPK1
CHEMBL2536	PLD1
CHEMBL254	PDE4A
CHEMBL2543	CSNK1G2
CHEMBL2553	RPS6KA1
CHEMBL2558	DAPK1
CHEMBL256	ADORA3
CHEMBL2573	Abcb1a
CHEMBL258	LCK
CHEMBL259	MC4R
CHEMBL2590	ANPEP
